"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX970101_Educational_Impact_Coronavirus_Household_Members_Preschool","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: preschool or day care.","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010100","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201313","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201314","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201315","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201316","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201317","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201401","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201402","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201403","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201404","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201405","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201406","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201407","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_4","What are [uas_coronavirus_children_high_school_name_4]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201408","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_4","Have [uas_coronavirus_children_high_school_name_4]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201409","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201410","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201411","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201412","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201413","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201414","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201415","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201416","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_4","What were [uas_coronavirus_children_high_school_name_4]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101201417","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201501","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201502","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201503","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201504","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201505","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201506","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201507","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_5","What are [uas_coronavirus_children_high_school_name_5]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201508","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_5","Have [uas_coronavirus_children_high_school_name_5]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201509","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201510","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201511","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201512","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201513","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201514","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201515","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201516","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_5","What were [uas_coronavirus_children_high_school_name_5]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101201517","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201601","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201602","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201603","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201604","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201605","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201606","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201607","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_6","What are [uas_coronavirus_children_high_school_name_6]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201608","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_6","Have [uas_coronavirus_children_high_school_name_6]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201609","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201610","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201611","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201612","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201613","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201614","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201615","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201616","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_6","What were [uas_coronavirus_children_high_school_name_6]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101201617","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201701","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201702","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201703","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201704","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201705","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201706","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201707","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_7","What are [uas_coronavirus_children_high_school_name_7]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201708","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_7","Have [uas_coronavirus_children_high_school_name_7]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201709","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201710","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201711","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201712","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201713","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201714","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201715","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201716","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_7","What were [uas_coronavirus_children_high_school_name_7]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101201717","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201801","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201802","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201803","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201804","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201805","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201806","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201807","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
