VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,
PX510801_AddictionSeverity_Legal_Interviewer_Rating, How would you rate the patient’s need for legal services or counseling?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801009600,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Patient_Misrepresentation_LegalProblems,Is the above information significantly distorted by: Patient’s misrepresentation?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801009700,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Misunderstanding_LegalProblems,Is the above information significantly distorted by: Patient’s inability to understand?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801009800,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Martial_Status,Marital Status,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801009900,,,,,1 = Married,2 = Remarried,3 = Widowed,4 = Separated,5 = Divorced,6 = Never Married,,,
PX510801_AddictionSeverity_Martial_Status_Length,"How long have you been in this marital status? (If never married, since age 18).",DCW_510801.doc,integer,years,,,,,,PhenX,PX510801010000,,,,,,,,,,,,,
PX510801_AddictionSeverity_Martial_Status_Satisified,Are you satisfied with this situation?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801010100,,,,,0 = No,1 = Indifferent,2 = Yes,,,,,,
PX510801_AddictionSeverity_Living_Arrangements,Usual living arrangements (past 3 yr.) ,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801010200,,,,,1 = With sexual partner and children,2 = With sexual partner alone,3 = With children alone,4 = With parents,5 = With family,6 = With friends,7 = Alone,8 = Controlled environment,9 = No stable arrangements
PX510801_AddictionSeverity_Living_Arrangements_Length,"How long have you lived in these arrangements. (If with parents or family, since age 18).",DCW_510801.doc,integer,years,,,,,,PhenX,PX510801010300,,,,,,,,,,,,,
PX510801_AddictionSeverity_Living_Arrangements_Satisfied,Are you satisfied with these living arrangements?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801010400,,,,,0 = No,1 = Indifferent,2 = Yes,,,,,,
PX510801_AddictionSeverity_Living_Arrangements_Alcohol_Problems,Do you live with anyone who: Has a current alcohol problem?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801010500,,,,,1 = Family,2 = Friends,3 = Alone,,,,,,
PX510801_AddictionSeverity_Living_Arrangements_Nonprescribed_Drugs,Do you live with anyone who: Uses non-prescribed drugs?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801010600,,,,,1 = Family,2 = Friends,3 = Alone,,,,,,
PX510801_AddictionSeverity_Free_Time,With whom do you spend most of your free time:,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801010700,,,,,1 = Family,2 = Friends,3 = Alone,,,,,,
PX510801_AddictionSeverity_Free_Time_Satisfied,Are you satisfied with spending your free time this way?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801010800,,,,,0 = No,1 = Indifferent,2 = Yes,,,,,,
PX510801_AddictionSeverity_Close_Friends,How many close friends do you have?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801010900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Close_Relationship_Mother,"Would you say you have had close, long lasting, personal relationships with any of the following people in your life: Mother",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011000,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Close_Relationship_Father,"Would you say you have had close, long lasting, personal relationships with any of the following people in your life: Father",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011100,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Close_Relationship_Siblings,"Would you say you have had close, long lasting, personal relationships with any of the following people in your life: Brothers/Sisters",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011200,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Close_Relationship_Partner,"Would you say you have had close, long lasting, personal relationships with any of the following people in your life: Sexual Partner/Spouse",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011300,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Close_Relationship_Children,"Would you say you have had close, long lasting, personal relationships with any of the following people in your life: Children",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011400,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Close_Relationship_Friends,"Would you say you have had close, long lasting, personal relationships with any of the following people in your life: Friends",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011500,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Mother_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Mother - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011601,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Mother_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Mother - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011602,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Father_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Father - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011701,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Father_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Father - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011702,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Siblings_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Brothers/Sisters - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011801,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Siblings_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Brothers/Sisters - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011802,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Partner_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Sexual partner/spouse - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011901,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Partner_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Sexual partner/spouse - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801011902,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Children_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Children - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012001,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Children_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Children - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012002,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_OtherFamily_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Other significant family __________ - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012101,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_OtherFamily_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Other significant family __________ - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012102,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_CloseFriends_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Close friends - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012201,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_CloseFriends_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Close friends - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012202,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Neighbors_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Neighbors - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012301,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Neighbors_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Neighbors - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012302,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Coworkers_Past_Month,Have you had significant periods in which you have experienced serious problems getting along with: Co-Workers - in past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012401,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_SeriousProblems_Coworkers_Lifetime,Have you had significant periods in which you have experienced serious problems getting along with: Co-Workers - in your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012402,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Emotional_Abuse_Past_Month,Did any of these people (Questions 116-124) abuse you: Emotionally (make you feel bad through harsh words)? - In the past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012501,,,,,0 = No,,,,,,,,
PX510801_AddictionSeverity_Emotional_Abuse_Lifetime,Did any of these people (Questions 116-124) abuse you: Emotionally (make you feel bad through harsh words)? - In your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012502,,,,,0 = No,,,,,,,,
PX510801_AddictionSeverity_Physical_Abuse_Past_Month,Did any of these people (Questions 116-124) abuse you: Physically (cause you physical harm)? - In the past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012601,,,,,0 = No,,,,,,,,
PX510801_AddictionSeverity_Physical_Abuse_Lifetime,Did any of these people (Questions 116-124) abuse you: Physically (cause you physical harm)? - In your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012602,,,,,0 = No,,,,,,,,
PX510801_AddictionSeverity_Sexual_Abuse_Past_Month,Did any of these people (Questions 116-124) abuse you: Sexually (force sexual advances or sexual acts)? - In the past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012701,,,,,0 = No,,,,,,,,
PX510801_AddictionSeverity_Sexual_Abuse_Lifetime,Did any of these people (Questions 116-124) abuse you: Sexually (force sexual advances or sexual acts)? - In your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801012702,,,,,0 = No,,,,,,,,
PX510801_AddictionSeverity_Serious_Conflicts_Family,How many days in the past 30 have you had serious conflicts: With your family?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801012800,,,,,,,,,,,,,
PX510801_AddictionSeverity_Serious_Conflicts_Others,How many days in the past 30 have you had serious conflicts: With other people? (excluding family),DCW_510801.doc,integer,,,,,,,PhenX,PX510801012900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Troubled_Family_Problems,How troubled or bothered have you been in the past 30 days by these: Family problems,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013000,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Troubled_Social_Problems,How troubled or bothered have you been in the past 30 days by these: Social problems,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013100,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Counseling_Family_Problems,How important to you now is treatment or counseling for these: Family problems,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013200,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Counseling_Social_Problems,How important to you now is treatment or counseling for these: Social problems,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013300,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Family_Counseling_Interviewer_Rating,How would you rate the patient’s need for family and/or social counseling?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013400,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Patient_Misrepresentation_FamilyProblems,Is the above information significantly distorted by: Patient’s misrepresentation?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013500,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Misunderstanding_FamilyProblems,Is the above information significantly distorted by: Patient’s inability to understand?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013600,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Psychological_Problems_Hospital,How many times have you been treated for any psychological or emotional problems? *In a hospital,DCW_510801.doc,integer,,,,,,,PhenX,PX510801013700,,,,,,,,,,,,,
PX510801_AddictionSeverity_Psychological_Problems_Patient,"How many times have you been treated for any psychological or emotional problems? *As an Opt, or Priv, patient",DCW_510801.doc,integer,,,,,,,PhenX,PX510801013800,,,,,,,,,,,,,
PX510801_AddictionSeverity_Psychological_Problems_Pension,Do you receive a pension for a psychiatric disability?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801013900,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Depression_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced serious depression - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014001,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Depression_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced serious depression - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014002,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Anxiety_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced serious anxiety or tension - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014101,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Anxiety_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced serious anxiety or tension - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014102,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Hallucinations_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced hallucinations - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014201,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Hallucinations_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced hallucinations - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014202,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_TroubleUnderstanding_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced trouble understanding, concentrating, or remembering - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014301,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_TroubleUnderstanding_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced trouble understanding, concentrating, or remembering - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014302,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Violent_Behavior_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced trouble controlling violent behavior - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014401,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Violent_Behavior_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced trouble controlling violent behavior - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014402,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Suicidal_Thoughts_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced serious thoughts of suicide - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014501,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Suicidal_Thoughts_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Experienced serious thoughts of suicide - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014502,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Attempt_Suicide_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Attempted suicide - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014601,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Attempt_Suicide_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Attempted suicide - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014602,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Prescribed_Medication_Past_Month,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Been prescribed medication for any psychological emotional problem - in the past 30 days?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014701,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Prescribed_Medication_Lifetime,"Have you had a significant period (that was not a direct result of drug/alcohol use), in which you have: Been prescribed medication for any psychological emotional problem - in your lifetime?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014702,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Psychological_Problems_Past_Month,How many days in the past 30 have you experienced these psychological or emotional problems?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801014800,,,,,,,,,,,,,
PX510801_AddictionSeverity_Troubled_Psychological_Problems,How much have you been troubled or bothered by these psychological or emotional problems in the past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801014900,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Treatment_Psychological_Problems,How important to you now is treatment for these psychological problems?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015000,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Patient_Depressed,"At the time of the interview, is patient: Obviously depressed/withdrawn",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015100,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Hostile,"At the time of the interview, is patient: Obviously hostile",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015200,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Anxious,"At the time of the interview, is patient: Obviously anxious/nervous",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015300,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Reality,"At the time of the interview, is patient: Having trouble with reality testing thought disorders, paranoid thinking",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015400,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Comprehension,"At the time of the interview, is patient: Having trouble comprehending, concentrating, remembering",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015500,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Suicidal,"At the time of the interview, is patient: Having suicidal thoughts",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015600,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Psychological_Interviewer_Rating,How would you rate the patient’s need for psychiatric/psychological treatment?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015700,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Patient_Misrepresentation_PsychologicalProblems,Is the above information significantly distorted by: Patient’s misrepresentation?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015800,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Misunderstanding_PsychologicalProblems,Is the above information significantly distorted by: Patient’s inability to understand?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801015900,,,,,0 = No,1 = Yes,,,,,,,
