VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX030502_Alcohol_Lifetime_Use_Disorder_Strong_Desire_Drink,Did you have a strong desire or urge to drink?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012804,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Preoccupied_Ever,In your entire life did you EVER ant a drink so badly that you couldn't think of anything else?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012901,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Preoccupied_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.29.1 = Yes,,PhenX,PX030502012902,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Preoccupied_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.29.1 = Yes, MARK Yes if Q1.29.2 = No",,PhenX,PX030502012903,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Preoccupied_Strong_Desire,Did you have a strong desire or urge to drink?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012904,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_Family_Impact_Ever,In your entire life did you EVER have a period when your drinking or being sick from drinking often interfered with taking care of your home or family?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013001,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_Family_Impact_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.30.1 = Yes,,PhenX,PX030502013002,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_Family_Impact_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.30.1 = Yes, MARK Yes if Q1.30.2 = No",,PhenX,PX030502013003,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_Family_Impact_Drunk_Hung_Over,Were drunk or hung over when you were supposed to be doing something important?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013004,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Job_School_Impact_Ever,"In your entire life did you EVER have job or school troubles because of your drinking or being sick from drinking-like missing too much work, not doing your work well, being demoted or losing a job, or being suspended, expelled, or dropping out of school?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013101,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Job_School_Impact_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.30.1 = Yes,,PhenX,PX030502013102,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Job_School_Impact_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.30.1 = Yes, MARK Yes if Q1.30.2 = No",,PhenX,PX030502013103,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Job_School_Impact_Drunk_Hung_Over,Were drunk or hung over when you were supposed to be doing something important?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013104,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Job_School_Ever,In your entire life did you EVER continue to drink even though it was causing you problems at school or at work?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013201,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Job_School_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.31.1 = Yes,,PhenX,PX030502013202,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Job_School_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.31.1 = Yes, MARK Yes if Q1.31.2 = No",,PhenX,PX030502013203,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Job_School_Drunk_Hung_Over,Were drunk or hung over when you were supposed to be doing something important?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013204,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_While_Drinking_Ever,In your entire life did you EVER More than once drive a car or other vehicle WHILE you were drinking?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013301,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_While_Drinking_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.32.1 = Yes,,PhenX,PX030502013302,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_While_Drinking_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.32.1 = Yes, MARK Yes if Q1.32.2 = No",,PhenX,PX030502013303,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_While_Drinking_Safety,Were in a situation while drinking or after drinking where you could have been hurt?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013304,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_Under_Influence_Ever,"In your entire life did you EVER drive a car, motorcycle, truck, boat or other vehicle and have an accident WHILE you were under the influence of alcohol?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013401,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_Under_Influence_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.33.1 = Yes,,PhenX,PX030502013402,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_Under_Influence_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.33.1 = Yes, MARK Yes if Q1.33.2 = No",,PhenX,PX030502013403,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_Under_Influence_Safety,Were in a situation while drinking or after drinking where you could have been hurt?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013404,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_After_Drinking_Ever,"In your entire life did you EVER more than once drive a car, motorcycle, truck, boat, or other vehicle AFTER having too much to drink?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013501,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_After_Drinking_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.34.1 = Yes,,PhenX,PX030502013502,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_After_Drinking_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.34.1 = Yes, MARK Yes if Q1.34.2 = No",,PhenX,PX030502013503,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Driving_After_Drinking_Safety,Were in a situation while drinking or after drinking where you could have been hurt?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013504,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Increased_Safety_Risk_Ever,"In your entire life did you EVER get into situations while drinking or after drinking that increased your chances of getting hurt-like swimming, using machinery, or walking in a dangerous area or around heavy traffic?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013601,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Increased_Safety_Risk_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.35.1 = Yes,,PhenX,PX030502013602,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Increased_Safety_Risk_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.35.1 = Yes, MARK Yes if Q1.35.2 = No",,PhenX,PX030502013603,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Increased_Safety_Risk_Safety,Were in a situation while drinking or after drinking where you could have been hurt?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013604,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fighting_Spouse_Ever,In your entire life did you EVER have arguments or problems with your spouse or partner or family or friends because of your drinking?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013701,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fighting_Spouse_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.36.1 = Yes,,PhenX,PX030502013702,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fighting_Spouse_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.36.1 = Yes, MARK Yes if Q1.36.2 = No",,PhenX,PX030502013703,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fighting_Spouse_Relationship_Impact,Drank even though it affected your relationships with other people?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013704,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Relationship_Impact_Ever,In your entire life did you EVER continue to drink even though it was causing you trouble with your family or friends?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013801,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Relationship_Impact_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.37.1 = Yes,,PhenX,PX030502013802,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Relationship_Impact_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.37.1 = Yes, MARK Yes if Q1.37.2 = No",,PhenX,PX030502013803,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Relationship_Impact,Drank even though it affected your relationships with other people?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013804,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fights_Ever,In your entire life did you EVER get into physical fights while drinking or right after drinking?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013901,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fights_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.38.1 = Yes,,PhenX,PX030502013902,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fights_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.38.1 = Yes, MARK Yes if Q1.38.2 = No",,PhenX,PX030502013903,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Fights_Relationship_Impact,Drank even though it affected your relationships with other people?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502013904,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Check_Item3,"Are there AT LEAST 2 BOXES marked ""Yes"" for Q1.1.4-Q1.39.4?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502020100,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Check_Item4,"You mentioned that before 12 months ago, you…(Read ALL summary statements marked in Boxes B1, B2, B3, B4-1, B4-2, B5-B12 in 1, column d). Before last (Month one year ago), was there EVER a period when SOME of these experiences were happening around the same time ON AND OFF FOR A FEW MONTHS OR LONGER?",DCW_030502.doc,encoded values,,,,,ASK IF Q2.1.1 = Yes,,PhenX,PX030502020200,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Time_Prior_Last_Year,"Before last (Month one year ago), was there EVER a period when SOME of these experiences were happening around the same time MOST DAYS FOR AT LEAST A MONTH?",DCW_030502.doc,encoded values,,,,,ASK IF Q2.1.1 = Yes and Q2.2.1 = No,,PhenX,PX030502020300,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Time_Prior_Last_Year_Within,"Before last (Month one year ago), was there EVER a time when SOME of these experiences happened within the same 1-year period?",DCW_030502.doc,encoded values,,,,,ASK IF Q2.1.1 = Yes and Q2.3.1 = No,,PhenX,PX030502020400,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Age_First_Time,About how old were you the FIRST time SOME of these experiences BEGAN to happen around the same time?,DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes and Q2.4.1 = Yes,,PhenX,PX030502020500,,,,,,
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Number_Periods_Times,"In your ENTIRE LIFE, how many separate periods like this did you have when SOME of these experiences were happening around the same time? By separate periods, I mean times that were separated by at least 1 year when you EITHER STOPPED drinking entirely (PAUSE) OR you didn’t have any of the experiences you mentioned with alcohol at all.",DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes and Q2.4.1 = Yes,,PhenX,PX030502020600,,,,,,
PX030502_Alcohol_Lifetime_Use_Disorder_Check_Item5,"Is number entered in 2e, 2 or more or unknown?",DCW_030502.doc,encoded values,,,,,ASK IF Q2.1.1 = Yes,,PhenX,PX030502020700,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Longest_Period_Months,What was the LONGEST period you had when SOME of these experiences were happening around the same time? Months,DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes and Q2.7.1 = Yes,,PhenX,PX030502020801,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Longest_Period_Years,What was the LONGEST period you had when SOME of these experiences were happening around the same time? Years,DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes and Q2.7.1 = Yes,,PhenX,PX030502020802,,,,,,
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Recent_Time_Age,How old were you the MOST RECENT time SOME of these experiences BEGAN to happen around the same time?,DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes,,PhenX,PX030502020900,,,,,,
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Same_Time_Period_Months,How long did this period last when SOME of these experiences were happening around the same time? Months,DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes,,PhenX,PX030502021001,,,,,,
PX030502_Alcohol_Lifetime_Use_Disorder_Experiences_Same_Time_Period_Years,How long did this period last when SOME of these experiences were happening around the same time? Years,DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes,,PhenX,PX030502021002,,,,,,
PX030502_Alcohol_Lifetime_Use_Disorder_Check_Item6,"Is at least 1 item marked in 1b, items (1)-(16), (19)-(27), or (30)-(39)?",DCW_030502.doc,encoded values,,,,,ASK IF Q2.1.1 = Yes,,PhenX,PX030502021100,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Experienes_Stopped_Age,"About how old were you when you FINALLY STOPPED having these experiences with alcohol? By finally stopped, I mean they never started happening again?",DCW_030502.doc,integer,,,,,ASK IF Q2.1.1 = Yes,,PhenX,PX030502021200,,,,,,
PX030502_Alcohol_Lifetime_Use_Disorder_Car_Passenger_Drinking_Ever,"In your ENTIRE LIFE, did you EVER ride in a car as a passenger while you were drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502030101,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Car_Passenger_Drinking_Ever_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q3.1.1 = Yes,,PhenX,PX030502030102,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Car_Passenger_Drinking_Ever_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q3.1.1 = Yes, MARK Yes if Q3.1.2 = No",,PhenX,PX030502030103,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Vehicle_Injury_Drinking_Ever,"In your ENTIRE LIFE, did you EVER drive a car, motorcycle, truck, or other vehicle and injure yourself or someone else in an accident while you were under the influence of alcohol?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502030201,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Vehicle_Injury_Drinking_Ever_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q3.2.1 = Yes,,PhenX,PX030502030202,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Vehicle_Injury_Drinking_Ever_Prior_Past_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q3.2.1 = Yes, MARK Yes if Q3.2.2 = No",,PhenX,PX030502030203,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Nonvehicle_Injury_Ever,"In your ENTIRE LIFE, did you EVER accidentally injure yourself or someone else in any way other than motor vehicle accidents, like a bad fall or bad cut, while you were under the influence of alcohol?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502030301,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Nonvehicle_Injury_Ever_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q3.3.1 = Yes,,PhenX,PX030502030302,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Nonvehicle_Injury_Ever_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q3.3.1 = Yes, MARK Yes if Q3.3.2 = No",,PhenX,PX030502030303,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Arrested_Drinking_Ever,"In your ENTIRE LIFE, did you EVER more than once get arrested, held at a police station, or have any other legal problems because of your drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502030401,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Arrested_Drinking_Ever_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q3.4.1 = Yes,,PhenX,PX030502030402,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Arrested_Drinking_Ever_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q3.4.1 = Yes, MARK Yes if Q3.4.2 = No",,PhenX,PX030502030403,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Passenger_Driver_Drinking_Ever,"In your ENTIRE LIFE, did you EVER ride in a car or other vehicle WHILE the driver was drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502030501,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Passenger_Driver_Drinking_Ever_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q3.5.1 = Yes,,PhenX,PX030502030502,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Passenger_Driver_Drinking_Ever_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q3.5.1 = Yes, MARK Yes if Q3.5.2 = No",,PhenX,PX030502030503,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Check_Item7,Does Check Item 2.4A = 1 (did respondent ever drink at least 12 drinks in any year or 5+ drinks in a single day in any year)?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502030601,,,,,1 = Yes,2 = No
