VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES
PX290601_Employment_Occupation_Management_Members_Union_Total,Labor force statistics for employees in all management occupations.  Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020502,,,,,
PX290601_Employment_Occupation_Management_Members_Union_Percent_Unemployed,Labor force statistics for employees in all management occupations.  Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020503,,,,,
PX290601_Employment_Occupation_Management_Represented_Union_Total,Labor force statistics for employees in all management occupations.  Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020504,,,,,
PX290601_Employment_Occupation_Management_Represented_Union_Percent_Unemployed,Labor force statistics for employees in all management occupations.  Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020505,,,,,
PX290601_Employment_Occupation_Business_Financial_Total_Employed,Labor force statistics for employees in buisness and financial operations occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020601,,,,,
PX290601_Employment_Occupation_Business_Financial_Members_Union_Total,Labor force statistics for employees in buisness and financial operations occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020602,,,,,
PX290601_Employment_Occupation_Business_Financial_Members_Union_Percent_Unemployed,Labor force statistics for employees in buisness and financial operations occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020603,,,,,
PX290601_Employment_Occupation_Business_Financial_Represented_Union_Total,Labor force statistics for employees in buisness and financial operations occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020604,,,,,
PX290601_Employment_Occupation_Business_Financial_Represented_Union_Percent_Unemployed,Labor force statistics for employees in buisness and financial operations occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020605,,,,,
PX290601_Employment_Occupation_Professional_Related_Total_Employed,Labor force statistics for employees in professional and related occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020701,,,,,
PX290601_Employment_Occupation_Professional_Related_Members_Union_Total,Labor force statistics for employees in professional and related occupations. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020702,,,,,
PX290601_Employment_Occupation_Professional_Related_Members_Union_Percent_Unemployed,Labor force statistics for employees in professional and related occupations. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020703,,,,,
PX290601_Employment_Occupation_Professional_Related_Represented_Union_Total,Labor force statistics for employees in professional and related occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020704,,,,,
PX290601_Employment_Occupation_Professional_Related_Represented_Union_Percent_Unemployed,Labor force statistics for employees in professional and related occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020705,,,,,
PX290601_Employment_Occupation_Computer_Mathematical_Total_Employed,Labor force statistics for employees in computer and mathematical occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020801,,,,,
PX290601_Employment_Occupation_Computer_Mathematical_Members_Union_Total,Labor force statistics for employees in computer and mathematical occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020802,,,,,
PX290601_Employment_Occupation_Computer_Mathematical_Members_Union_Percent_Unemployed,Labor force statistics for employees in computer and mathematical occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020803,,,,,
PX290601_Employment_Occupation_Computer_Mathematical_Represented_Union_Total,Labor force statistics for employees in computer and mathematical occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020804,,,,,
PX290601_Employment_Occupation_Computer_Mathematical_Represented_Union_Percent_Unemployed,Labor force statistics for employees in computer and mathematical occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020805,,,,,
PX290601_Employment_Occupation_Architecture_Engineering_Total_Employed,Labor force statistics for employees in architecture and egineering occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020901,,,,,
PX290601_Employment_Occupation_Architecture_Engineering_Members_Union_Total,Labor force statistics for employees in architecture and egineering occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020902,,,,,
PX290601_Employment_Occupation_Architecture_Engineering_Members_Union_Percent_Unemployed,Labor force statistics for employees in architecture and egineering occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020903,,,,,
PX290601_Employment_Occupation_Architecture_Engineering_Represented_Union_Total,Labor force statistics for employees in architecture and egineering occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601020904,,,,,
PX290601_Employment_Occupation_Architecture_Engineering_Represented_Union_Percent_Unemployed,Labor force statistics for employees in architecture and egineering occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601020905,,,,,
PX290601_Employment_Occupation_Life_Physical_Social_Science_Total_Employed,"Labor force statistics for employees in life, physical, and social science occupations. Total number employed.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021001,,,,,
PX290601_Employment_Occupation_Life_Physical_Social_Science_Members_Union_Total,"Labor force statistics for employees in life, physical, and social science occupations. Total number of employees that are members of a union.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021002,,,,,
PX290601_Employment_Occupation_Life_Physical_Social_Science_Members_Union_Percent_Unemployed,"Labor force statistics for employees in life, physical, and social science occupations. Percent of employees that are members of a union.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021003,,,,,
PX290601_Employment_Occupation_Life_Physical_Social_Science_Represented_Union_Total,"Labor force statistics for employees in life, physical, and social science occupations. Total number of employees represented by unions.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021004,,,,,
PX290601_Employment_Occupation_Life_Physical_Social_Science_Represented_Union_Percent_Unemployed,"Labor force statistics for employees in life, physical, and social science occupations. Percent of employees represented by unions.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021005,,,,,
PX290601_Employment_Occupation_Community_Social_Service_Total_Employed,Labor force statistics for employees in community and social service occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021101,,,,,
PX290601_Employment_Occupation_Community_Social_Service_Members_Union_Total,Labor force statistics for employees in community and social service occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021102,,,,,
PX290601_Employment_Occupation_Community_Social_Service_Members_Union_Percent_Unemployed,Labor force statistics for employees in community and social service occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021103,,,,,
PX290601_Employment_Occupation_Community_Social_Service_Represented_Union_Total,Labor force statistics for employees in community and social service occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021104,,,,,
PX290601_Employment_Occupation_Community_Social_Service_Represented_Union_Percent_Unemployed,Labor force statistics for employees in community and social service occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021105,,,,,
PX290601_Employment_Occupation_Legal_Total_Employed,Labor force statistics for employees in legal occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021201,,,,,
PX290601_Employment_Occupation_Legal_Members_Union_Total,Labor force statistics for employees in legal occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021202,,,,,
PX290601_Employment_Occupation_Legal_Members_Union_Percent_Unemployed,Labor force statistics for employees in legal occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021203,,,,,
PX290601_Employment_Occupation_Legal_Represented_Union_Total,Labor force statistics for employees in legal occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021204,,,,,
PX290601_Employment_Occupation_Legal_Represented_Union_Percent_Unemployed,Labor force statistics for employees in legal occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021205,,,,,
PX290601_Employment_Occupation_Education_Training_Library_Total_Employed,"Labor force statistics for employees in educations, training, and library occupations. Total number employed.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021301,,,,,
PX290601_Employment_Occupation_Education_Training_Library_Members_Union_Total,"Labor force statistics for employees in educations, training, and library occupations. Total number of employees that are members of a union.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021302,,,,,
PX290601_Employment_Occupation_Education_Training_Library_Members_Union_Percent_Unemployed,"Labor force statistics for employees in educations, training, and library occupations. Percent of employees that are members of a union.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021303,,,,,
PX290601_Employment_Occupation_Education_Training_Library_Represented_Union_Total,"Labor force statistics for employees in educations, training, and library occupations. Total number of employees represented by unions.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021304,,,,,
PX290601_Employment_Occupation_Education_Training_Library_Represented_Union_Percent_Unemployed,"Labor force statistics for employees in educations, training, and library occupations. Percent of employees represented by unions.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021305,,,,,
PX290601_Employment_Occupation_Arts_Design_Entertainment_Sports_Media_Total_Employed,"Labor force statistics for employees in arts, design, entertainment, sports, and media occupations. Total number employed.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021401,,,,,
PX290601_Employment_Occupation_Arts_Design_Entertainment_Sports_Media_Members_Union_Total,"Labor force statistics for employees in arts, design, entertainment, sports, and media occupations. Total number of employees that are members of a union.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021402,,,,,
PX290601_Employment_Occupation_Arts_Design_Entertainment_Sports_Media_Members_Union_Percent_Unemployed,"Labor force statistics for employees in arts, design, entertainment, sports, and media occupations. Percent of employees that are members of a union.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021403,,,,,
PX290601_Employment_Occupation_Arts_Design_Entertainment_Sports_Media_Represented_Union_Total,"Labor force statistics for employees in arts, design, entertainment, sports, and media occupations. Total number of employees represented by unions.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601021404,,,,,
PX290601_Employment_Occupation_Arts_Design_Entertainment_Sports_Media_Represented_Union_Percent_Unemployed,"Labor force statistics for employees in arts, design, entertainment, sports, and media occupations. Percent of employees represented by unions.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021405,,,,,
PX290601_Employment_Occupation_Healthcare_Practitioner_Technical_Total_Employed,Labor force statistics for employees in healthcare practicioner and technical occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021501,,,,,
PX290601_Employment_Occupation_Healthcare_Practitioner_Technical_Members_Union_Total,Labor force statistics for employees in healthcare practicioner and technical occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021502,,,,,
PX290601_Employment_Occupation_Healthcare_Practitioner_Technical_Members_Union_Percent_Unemployed,Labor force statistics for employees in healthcare practicioner and technical occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021503,,,,,
PX290601_Employment_Occupation_Healthcare_Practitioner_Technical_Represented_Union_Total,Labor force statistics for employees in healthcare practicioner and technical occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021504,,,,,
PX290601_Employment_Occupation_Healthcare_Practitioner_Technical_Represented_Union_Percent_Unemployed,Labor force statistics for employees in healthcare practicioner and technical occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021505,,,,,
PX290601_Employment_Occupation_Service_Total_Employed,Labor force statistics for employees in all service occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021601,,,,,
PX290601_Employment_Occupation_Service_Members_Union_Total,Labor force statistics for employees in all service occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021602,,,,,
PX290601_Employment_Occupation_Service_Members_Union_Percent_Unemployed,Labor force statistics for employees in all service occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021603,,,,,
PX290601_Employment_Occupation_Service_Represented_Union_Total,Labor force statistics for employees in all service occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021604,,,,,
PX290601_Employment_Occupation_Service_Represented_Union_Percent_Unemployed,Labor force statistics for employees in all service occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021605,,,,,
PX290601_Employment_Occupation_Healthcare_Support_Total_Employed,Labor force statistics for employees in healthcare support occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021701,,,,,
PX290601_Employment_Occupation_Healthcare_Support_Members_Union_Total,Labor force statistics for employees in healthcare support occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021702,,,,,
PX290601_Employment_Occupation_Healthcare_Support_Members_Union_Percent_Unemployed,Labor force statistics for employees in healthcare support occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021703,,,,,
PX290601_Employment_Occupation_Healthcare_Support_Represented_Union_Total,Labor force statistics for employees in healthcare support occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021704,,,,,
PX290601_Employment_Occupation_Healthcare_Support_Represented_Union_Percent_Unemployed,Labor force statistics for employees in healthcare support occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021705,,,,,
PX290601_Employment_Occupation_Protective_Service_Total_Employed,Labor force statistics for employees in protective service occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021801,,,,,
PX290601_Employment_Occupation_Protective_Service_Members_Union_Total,Labor force statistics for employees in protective service occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021802,,,,,
PX290601_Employment_Occupation_Protective_Service_Members_Union_Percent_Unemployed,Labor force statistics for employees in protective service occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021803,,,,,
PX290601_Employment_Occupation_Protective_Service_Represented_Union_Total,Labor force statistics for employees in protective service occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021804,,,,,
PX290601_Employment_Occupation_Protective_Service_Represented_Union_Percent_Unemployed,Labor force statistics for employees in protective service occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021805,,,,,
PX290601_Employment_Occupation_Food_Preparation_Serving_Related_Total_Employed,Labor force statistics for employees in food preparation and service related occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021901,,,,,
PX290601_Employment_Occupation_Food_Preparation_Serving_Related_Members_Union_Total,Labor force statistics for employees in food preparation and service related occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021902,,,,,
PX290601_Employment_Occupation_Food_Preparation_Serving_Related_Members_Union_Percent_Unemployed,Labor force statistics for employees in food preparation and service related occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021903,,,,,
PX290601_Employment_Occupation_Food_Preparation_Serving_Related_Represented_Union_Total,Labor force statistics for employees in food preparation and service related occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601021904,,,,,
PX290601_Employment_Occupation_Food_Preparation_Serving_Related_Represented_Union_Percent_Unemployed,Labor force statistics for employees in food preparation and service related occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601021905,,,,,
PX290601_Employment_Occupation_Building_Grounds_Cleaning_Maintenance_Total_Employed,Labor force statistics for employees in building and grounds cleaning and maintenance occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022001,,,,,
PX290601_Employment_Occupation_Building_Grounds_Cleaning_Maintenance_Members_Union_Total,Labor force statistics for employees in building and grounds cleaning and maintenance occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022002,,,,,
PX290601_Employment_Occupation_Building_Grounds_Cleaning_Maintenance_Members_Union_Percent_Unemployed,Labor force statistics for employees in building and grounds cleaning and maintenance occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022003,,,,,
PX290601_Employment_Occupation_Building_Grounds_Cleaning_Maintenance_Represented_Union_Total,Labor force statistics for employees in building and grounds cleaning and maintenance occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022004,,,,,
PX290601_Employment_Occupation_Building_Grounds_Cleaning_Maintenance_Represented_Union_Percent_Unemployed,Labor force statistics for employees in building and grounds cleaning and maintenance occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022005,,,,,
PX290601_Employment_Occupation_Personal_Care_Service_Total_Employed,Labor force statistics for employees in personal care and service occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022101,,,,,
PX290601_Employment_Occupation_Personal_Care_Service_Members_Union_Total,Labor force statistics for employees in personal care and service occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022102,,,,,
PX290601_Employment_Occupation_Personal_Care_Service_Members_Union_Percent_Unemployed,Labor force statistics for employees in personal care and service occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022103,,,,,
PX290601_Employment_Occupation_Personal_Care_Service_Represented_Union_Total,Labor force statistics for employees in personal care and service occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022104,,,,,
PX290601_Employment_Occupation_Personal_Care_Service_Represented_Union_Percent_Unemployed,Labor force statistics for employees in personal care and service occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022105,,,,,
PX290601_Employment_Occupation_Sales_Office_Total_Employed,Labor force statistics for employees in all sales and office occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022201,,,,,
PX290601_Employment_Occupation_Sales_Office_Members_Union_Total,Labor force statistics for employees in all sales and office occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022202,,,,,
PX290601_Employment_Occupation_Sales_Office_Members_Union_Percent_Unemployed,Labor force statistics for employees in all sales and office occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022203,,,,,
PX290601_Employment_Occupation_Sales_Office_Represented_Union_Total,Labor force statistics for employees in all sales and office occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022204,,,,,
PX290601_Employment_Occupation_Sales_Office_Represented_Union_Percent_Unemployed,Labor force statistics for employees in all sales and office occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022205,,,,,
PX290601_Employment_Occupation_Sales_Related_Total_Employed,Labor force statistics for employees in sales and related occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022301,,,,,
PX290601_Employment_Occupation_Sales_Related_Members_Union_Total,Labor force statistics for employees in sales and related occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022302,,,,,
PX290601_Employment_Occupation_Sales_Related_Members_Union_Percent_Unemployed,Labor force statistics for employees in sales and related occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022303,,,,,
PX290601_Employment_Occupation_Sales_Related_Represented_Union_Total,Labor force statistics for employees in sales and related occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022304,,,,,
PX290601_Employment_Occupation_Sales_Related_Represented_Union_Percent_Unemployed,Labor force statistics for employees in sales and related occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022305,,,,,
PX290601_Employment_Occupation_Office_Administrative_Support_Total_Employed,Labor force statistics for employees in office and administrative support occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022401,,,,,
PX290601_Employment_Occupation_Office_Administrative_Support_Members_Union_Total,Labor force statistics for employees in office and administrative support occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022402,,,,,
PX290601_Employment_Occupation_Office_Administrative_Support_Members_Union_Percent_Unemployed,Labor force statistics for employees in office and administrative support occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022403,,,,,
PX290601_Employment_Occupation_Office_Administrative_Support_Represented_Union_Total,Labor force statistics for employees in office and administrative support occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022404,,,,,
PX290601_Employment_Occupation_Office_Administrative_Support_Represented_Union_Percent_Unemployed,Labor force statistics for employees in office and administrative support occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022405,,,,,
PX290601_Employment_Occupation_Natural_Resources_Construction_Maintenance_Total_Employed,"Labor force statistics for employees in all natural resources, construction, and maintenance operations. Total number employed.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022501,,,,,
PX290601_Employment_Occupation_Natural_Resources_Construction_Maintenance_Members_Union_Total,"Labor force statistics for employees in all natural resources, construction, and maintenance operations. Total number of employees that are members of a union.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022502,,,,,
PX290601_Employment_Occupation_Natural_Resources_Construction_Maintenance_Members_Union_Percent_Unemployed,"Labor force statistics for employees in all natural resources, construction, and maintenance operations. Percent of employees that are members of a union.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022503,,,,,
PX290601_Employment_Occupation_Natural_Resources_Construction_Maintenance_Represented_Union_Total,"Labor force statistics for employees in all natural resources, construction, and maintenance operations. Total number of employees represented by unions.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022504,,,,,
PX290601_Employment_Occupation_Natural_Resources_Construction_Maintenance_Represented_Union_Percent_Unemployed,"Labor force statistics for employees in all natural resources, construction, and maintenance operations. Percent of employees represented by unions.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022505,,,,,
PX290601_Employment_Occupation_Farming_Fishing_Forestry_Total_Employed,"Labor force statistics for employees in farming, fishing, and forestry occupations. Total number employed.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022601,,,,,
PX290601_Employment_Occupation_Farming_Fishing_Forestry_Members_Union_Total,"Labor force statistics for employees in farming, fishing, and forestry occupations. Total number of employees that are members of a union.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022602,,,,,
PX290601_Employment_Occupation_Farming_Fishing_Forestry_Members_Union_Percent_Unemployed,"Labor force statistics for employees in farming, fishing, and forestry occupations. Percent of employees that are members of a union.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022603,,,,,
PX290601_Employment_Occupation_Farming_Fishing_Forestry_Represented_Union_Total,"Labor force statistics for employees in farming, fishing, and forestry occupations. Total number of employees represented by unions.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022604,,,,,
PX290601_Employment_Occupation_Farming_Fishing_Forestry_Represented_Union_Percent_Unemployed,"Labor force statistics for employees in farming, fishing, and forestry occupations. Percent of employees represented by unions.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022605,,,,,
PX290601_Employment_Occupation_Construction_Extraction_Total_Employed,Labor force statistics for employees in  construction and extraction occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022701,,,,,
PX290601_Employment_Occupation_Construction_Extraction_Members_Union_Total,Labor force statistics for employees in  construction and extraction occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022702,,,,,
PX290601_Employment_Occupation_Construction_Extraction_Members_Union_Percent_Unemployed,Labor force statistics for employees in  construction and extraction occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022703,,,,,
PX290601_Employment_Occupation_Construction_Extraction_Represented_Union_Total,Labor force statistics for employees in  construction and extraction occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601022704,,,,,
PX290601_Employment_Occupation_Construction_Extraction_Represented_Union_Percent_Unemployed,Labor force statistics for employees in  construction and extraction occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022705,,,,,
PX290601_Employment_Occupation_Installation_Maintenance_Repair_Total_Employed,"Labor force statistics for employees in installation, maintenance, and repair occupations. Total number employed.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022801,,,,,
PX290601_Employment_Occupation_Installation_Maintenance_Repair_Members_Union_Total,"Labor force statistics for employees in installation, maintenance, and repair occupations. Total number of employees that are members of a union.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022802,,,,,
PX290601_Employment_Occupation_Installation_Maintenance_Repair_Members_Union_Percent_Unemployed,"Labor force statistics for employees in installation, maintenance, and repair occupations. Percent of employees that are members of a union.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022803,,,,,
PX290601_Employment_Occupation_Installation_Maintenance_Repair_Represented_Union_Total,"Labor force statistics for employees in installation, maintenance, and repair occupations. Total number of employees represented by unions.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022804,,,,,
PX290601_Employment_Occupation_Installation_Maintenance_Repair_Represented_Union_Percent_Unemployed,"Labor force statistics for employees in installation, maintenance, and repair occupations. Percent of employees represented by unions.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022805,,,,,
PX290601_Employment_Occupation_Production_Transportation_Material_Moving_Total_Employed,"Labor force statistics for employees in all production, transporation, and material moving occupations. Total number employed.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022901,,,,,
PX290601_Employment_Occupation_Production_Transportation_Material_Moving_Members_Union_Total,"Labor force statistics for employees in all production, transporation, and material moving occupations. Total number of employees that are members of a union.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022902,,,,,
PX290601_Employment_Occupation_Production_Transportation_Material_Moving_Members_Union_Percent_Unemployed,"Labor force statistics for employees in all production, transporation, and material moving occupations. Percent of employees that are members of a union.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022903,,,,,
PX290601_Employment_Occupation_Production_Transportation_Material_Moving_Represented_Union_Total,"Labor force statistics for employees in all production, transporation, and material moving occupations. Total number of employees represented by unions.",DCW_290601.doc,integer,,,,,,,PhenX,PX290601022904,,,,,
PX290601_Employment_Occupation_Production_Transportation_Material_Moving_Represented_Union_Percent_Unemployed,"Labor force statistics for employees in all production, transporation, and material moving occupations. Percent of employees represented by unions.",DCW_290601.doc,decimal,,,,,,,PhenX,PX290601022905,,,,,
PX290601_Employment_Occupation_Production_Total_Employed,Labor force statistics for employees in production occupations. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601023001,,,,,
PX290601_Employment_Occupation_Production_Members_Union_Total,Labor force statistics for employees in production occupations. Total number of employees that are members of a union.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601023002,,,,,
PX290601_Employment_Occupation_Production_Members_Union_Percent_Unemployed,Labor force statistics for employees in production occupations. Percent of employees that are members of a union.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601023003,,,,,
PX290601_Employment_Occupation_Production_Represented_Union_Total,Labor force statistics for employees in production occupations. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601023004,,,,,
PX290601_Employment_Occupation_Production_Represented_Union_Percent_Unemployed,Labor force statistics for employees in production occupations. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601023005,,,,,
