"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Age_First_Time","How old were you when you FIRST used sedatives or tranquilizers?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405010100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_History_Recent_Months","When was the most recent time you used hallucinogens? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405070600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_History_Recent_Years","When was the most recent time you used hallucinogens? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405070700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_Highest_Frequency","Think about the time when you were using hallucinogens the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405070800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using hallucinogens that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405070900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using hallucinogens that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405071000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using hallucinogens that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405071100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using hallucinogens that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405071200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Age_First_Time","How old were you when you FIRST used inhalants/solvents?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405080100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_History","Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used inhalants/solvents?' > 0","","PhenX","PX510405080200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_Frequency","During the last 12 months, about how often did you use inhalants/solvents?","DCW_510405.doc","string","","","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405080300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_History_Recent_Days","When was the most recent time you used inhalants/solvents? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405080400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_History_Recent_Weeks","When was the most recent time you used inhalants/solvents? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405080500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_History_Recent_Months","When was the most recent time you used inhalants/solvents? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405080600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_History_Recent_Years","When was the most recent time you used inhalants/solvents? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405080700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_Highest_Frequency","Think about the time when you were using inhalants/solvents the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405080800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using inhalants/solvents that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405080900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using inhalants/solvents that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405081000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using inhalants/solvents that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405081100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Inhalants_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using inhalants/solvents that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use inhalants/solvents in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405081200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Age_First_Time","How old were you when you FIRST used heroin?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405090100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_History","Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used heroin?' > 0","","PhenX","PX510405090200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_Frequency","During the last 12 months, about how often did you use heroin?","DCW_510405.doc","string","","","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405090300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_History_Recent_Days","When was the most recent time you used heroin? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405090400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_History_Recent_Weeks","When was the most recent time you used heroin? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405090500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_History_Recent_Months","When was the most recent time you used heroin? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405090600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_History_Recent_Years","When was the most recent time you used heroin? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405090700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_Highest_Frequency","Think about the time when you were using heroin the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405090800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using heroin that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405090900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using heroin that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405091000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using heroin that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405091100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Heroin_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using heroin that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use heroin in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405091200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Age_First_Time","How old were you when you FIRST used other drugs?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405100100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_History","Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used other drugs?' > 0","","PhenX","PX510405100200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_Frequency","During the last 12 months, about how often did you use other drugs?","DCW_510405.doc","string","","","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405100300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_History_Recent_Days","When was the most recent time you used other drugs? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405100400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_History_Recent_Weeks","When was the most recent time you used other drugs? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405100500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_History_Recent_Months","When was the most recent time you used other drugs? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405100600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_History_Recent_Years","When was the most recent time you used other drugs? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405100700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_Highest_Frequency","Think about the time when you were using other drugs the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405100800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using other drugs that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405100900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using other drugs that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405101000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using other drugs that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405101100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Other_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using other drugs that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use other drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405101200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Respondent_Marijuana","What is the time period marked in 2b for marijuana? When did respondent use marijuana?","DCW_510405.doc","encoded values","","","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405120100","","","","","1 = Last 12 months only","2 = Before last 12 months only","3 = Both time periods","4 = Never","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Joints_Daily","Now I would like to know a little more about your use of marijuana. On the days that you used marijuana in the last 12 months, about how many joints did you usually smoke in a single day?","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405120200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Joints_Highest_Daily","Now I would like to know a little more about your use of marijuana. At the time you were using marijuana the MOST, about how many joints did you usually smoke in a single day?","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405120300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Respondent_Cocaine","What is the time period marked in 2b for cocaine or crack? When did respondent use cocaine or crack?","DCW_510405.doc","encoded values","","","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130100","","","","","1 = Last 12 months only","2 = Before last 12 months only","3 = Both time periods","4 = Never","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Daily_Grams","Now I would like to know a little more about your use of cocaine or crack. On the days that you used cocaine or crack in the last 12 months, about how many grams, lines or rocks did you usually use in a single day? Grams","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130201","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Daily_Lines","Now I would like to know a little more about your use of cocaine or crack. On the days that you used cocaine or crack in the last 12 months, about how many grams, lines or rocks did you usually use in a single day? Lines","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130202","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Daily_Rocks","Now I would like to know a little more about your use of cocaine or crack. On the days that you used cocaine or crack in the last 12 months, about how many grams, lines or rocks did you usually use in a single day? Rocks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130203","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Highest_Daily_Grams","Now I would like to know a little more about your use of cocaine or crack. At the time you were using cocaine or crack the MOST, about how many grams, lines or rocks did you usually use in a single day? Grams","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130301","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Highest_Daily_Lines","Now I would like to know a little more about your use of cocaine or crack. At the time you were using cocaine or crack the MOST, about how many grams, lines or rocks did you usually use in a single day? Lines","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130302","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Highest_Daily_Rocks","Now I would like to know a little more about your use of cocaine or crack. At the time you were using cocaine or crack the MOST, about how many grams, lines or rocks did you usually use in a single day? Rocks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130303","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_Method","In which of the following ways have you used cocaine or crack? Mark (X) all that apply,","DCW_510405.doc","encoded values","","","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130400","","","","","1 = IV, through the veins?","2 = Injection under the skin?","3 = Smoking, freebasing?","4 = Snorting, sniffing, breathing?","5 = By mouth, drinking?","6 = Other method?","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Respondent_Only_Marijuana","Is respondent only a marijuana user?","DCW_510405.doc","encoded values","","","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405130500","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Respondent_Stimulants","Did respondent use stimulants in the last 12 months?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2","","PhenX","PX510405130600","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Past_Year","In the last 12 months, did you use Add�-erall, Concerta, Sy�-lert, Pro-vig�-il, Ritalin, Dexedrine, or any other prescription stimulants ON YOUR OWN?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Did respondent use stimulants in the last 12 months?' = 1","","PhenX","PX510405130700","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Prescription_Past_Year","In the last 12 months, did you use a stimulant other than a prescription stimulant?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Did respondent use stimulants in the last 12 months?' = 1","","PhenX","PX510405130800","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Respondent_Stimulants_Prior_Last_Year","Did respondent use stimulants before 12 months ago?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2","","PhenX","PX510405130900","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Prior_Last_Year","Did you use Add’-erall, Concerta, Sy’-lert, Pro-vig’-il, Ritalin, Dexedrine, or any other prescription stimulants ON YOUR OWN before 12 months ago?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Did respondent use stimulants before 12 months ago?' = 1","","PhenX","PX510405131000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Prescription_Prior_Last_Year","Did you use a stimulant other than a prescription stimulant before 12 months ago?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Did respondent use stimulants before 12 months ago?' = 1","","PhenX","PX510405131100","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Ever","Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2","","PhenX","PX510405131200","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Past_Year","Did you take ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle in the last 12 months?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1","","PhenX","PX510405131300","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Past_Year_Frequency","About how often in the last 12 months, did you inject a medicine or drug with a needle?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1 AND 'Did you take ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle in the last 12 months?' = 1","","PhenX","PX510405131400","","","","","1 = Every day","2 = Nearly every day","3 = 3 to 4 times a week","4 = 1 to 2 times a week","5 = 2 to 3 times a month","6 = Once a month","7 = 7 to 11 times in the last year","8 = 3 to 6 times in the last year","9 = 2 times in the last year","10 = Once in the last year","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Prior_Last_Year","Did you take ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle BEFORE 12 months ago?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1 AND 'Did you take ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle in the last 12 months?' = 1","","PhenX","PX510405131500","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Highest_Use_Frequency","Think about a time when you were taking a medicine or drug by injection with a needle the MOST. At that time about how often did you inject a medicine or drug?","DCW_510405.doc","encoded values","","","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1 AND 'Did you take ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle BEFORE 12 months ago?' != 2","","PhenX","PX510405131600","","","","","1 = Every day","2 = Nearly every day","3 = 3 to 4 times a week","4 = 1 to 2 times a week","5 = 2 to 3 times a month","6 = Once a month","7 = 7 to 11 times in the last year","8 = 3 to 6 times in the last year","9 = 2 times in the last year","10 = Once in the last year","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Highest_Use_Period_Weeks","About how long did that period last when you were taking a medicine or drug by injection the MOST? Weeks (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1","","PhenX","PX510405131701","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Highest_Use_Period_Months","About how long did that period last when you were taking a medicine or drug by injection the MOST? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1","","PhenX","PX510405131702","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Highest_Use_Period_Years","About how long did that period last when you were taking a medicine or drug by injection the MOST? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1","","PhenX","PX510405131703","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Injection_Age_First_Time","About how old were you when you first injected any medicine or drug?","DCW_510405.doc","integer","","0","99","","ASK IF 'Is respondent only a marijuana user?' = 2 AND 'Have you EVER taken ANY medicines or drugs that we just talked about ON YOUR OWN by injection with a needle?' = 1","","PhenX","PX510405131800","","","","","","","","","","","","","","","","","","","","","","","",""
