VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Trouble_Sleeping_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402200200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Trouble_Sleeping_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402200300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Trouble_Sleeping_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402200400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Trouble_Sleeping_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402200500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Fits_Seizures,Did you EVER have fits or seizures (when the effects of a medicine or drug were wearing off)?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402210100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Fits_Seizures_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402210200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Fits_Seizures_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402210300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Fits_Seizures_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402210400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Fits_Seizures_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402210500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Irritable,Did you EVER become more irritable than usual?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402220100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Irritable_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402220200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Irritable_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402220300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Irritable_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402220400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Irritable_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402220500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Loss,Did you EVER eat less than usual or lose weight?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402230100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Loss_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402230200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Loss_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402230300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Loss_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402230400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Loss_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402230500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Angry_Aggressive,"Did you EVER feel angry, combative or aggressive (when the effects of a medicine or drug were wearing off)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402240100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Angry_Aggressive_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402240200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Angry_Aggressive_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402240300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Angry_Aggressive_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402240400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Angry_Aggressive_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402240500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Headache,Did you EVER have a headache?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402250100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Headache_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402250200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Headache_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402250300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Headache_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402250400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Headache_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402250500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Sweating,Did you EVER find yourself sweating?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402260100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sweating_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402260200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sweating_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402260300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Sweating_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402260400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sweating_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402260500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Chills,Did you EVER have chills (when the effects of a medicine or drug were wearing off)?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402270100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Chills_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402270200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Chills_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402270300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Chills_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402270400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Chills_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402270500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Stomach_Pain,Did you EVER have stomach pain?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402280100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stomach_Pain_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402280200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stomach_Pain_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402280300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Stomach_Pain_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402280400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stomach_Pain_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402280500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Stop_Use_Past_Year,You just mentioned that you had SOME bad aftereffects when stopping or cutting down on your use of medicines or drugs in the last 12 months. Did at least 2 of these experiences happen around the same time DURING the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402280600,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Drug,"In your entire life, Did you EVER take more of the same or a similar medicine or drug to get over or avoid any of these bad aftereffects?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402290100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Drug_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402290200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Drug_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402290300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Drug_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402290400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Drug_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402290500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Desire_Stop,"In your entire life, Did you EVER more than once want to stop or cut down on using any of these medicines or drugs?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402300100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Desire_Stop_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402300200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Desire_Stop_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402300300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Desire_Stop_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402300400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Desire_Stop_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402300500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Attempt_Stop_Fail,"In your entire life, Did you EVER more than once try to stop or cut down on using any of these medicines or drugs but found you couldn’t do it?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402310100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Attempt_Stop_Fail_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402310200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Attempt_Stop_Fail_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402310300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Attempt_Stop_Fail_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402310400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Attempt_Stop_Fail_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402310500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Larger_Amount_Intended,"In your entire life, Did you EVER often use a medicine or drug in larger amounts or for a much longer period than you meant to?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402320100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Larger_Amount_Intended_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402320200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Larger_Amount_Intended_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402320300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Larger_Amount_Intended_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402320400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Larger_Amount_Intended_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402320500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Recovery,"In your entire life, Did you EVER have a period when you spent a lot of time using a medicine or drug or getting over its bad aftereffects?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402330100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Recovery_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402330200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Recovery_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402330300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Recovery_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402330400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Recovery_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402330500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Ensuring_Adequate_Supply,"In your entire life, Did you EVER have a period when you spent a lot of time making sure you always had enough of a medicine or drug available?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402340100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Ensuring_Adequate_Supply_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402340200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Ensuring_Adequate_Supply_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402340300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Ensuring_Adequate_Supply_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402340400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Ensuring_Adequate_Supply_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402340500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Social_Impact,"In your entire life, Did you EVER give up or cut down on activities that were important to you in order to use a medicine or drug-like work, school, or associating with friends or relatives?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402350100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Social_Impact_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402350200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Social_Impact_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402350300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Social_Impact_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402350400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Social_Impact_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402350500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Hobbies_Impact,"In your entire life, Did you EVER give up or cut down on activities that you were interested in or that gave you pleasure in order to use a medicine or drug?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402360100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hobbies_Impact_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402360200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hobbies_Impact_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402360300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Hobbies_Impact_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402360400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hobbies_Impact_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402360500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Depressed,"In your entire life, Did you EVER continue to use a medicine or drug even though you knew it was making you feel depressed, uninterested in things, or suspicious or distrustful of other people?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402370100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Depressed_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402370200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Depressed_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402370300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Depressed_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402370400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Depressed_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402370500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Health,"In your entire life, Did you EVER continue to use a medicine or drug even though you knew it was causing you a health problem or making a health problem worse?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402380100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Health_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402380200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Health_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402380300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Health_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402380400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_Health_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402380500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
