VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Month,Date Abstracted - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Day,Date Abstracted - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Year,Date Abstracted - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstractor_ID,Abstractor ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401020000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Nosologist_ID,Nosologist ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401030000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_CTR_ID,CTR ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401040000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Study_Year,Study Year,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401050000,,,,,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Procedure_3,PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120402,,,,,1 = Sigmoidoscopy,2 = Colonoscopy,3 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120403,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120404,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120405,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120406,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120407,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120408,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120409,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120410,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120411,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_3_NotAvailable,LOCATION - Anatomic  Not Available,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120412,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_3,LOCATION - Distance In cm,DCW_190401.doc,integer,,,,,,,PhenX,PX190401120413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_3_Coded,LOCATION - Distance In cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120414,,,,,99 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_3,SIZE - Longest dimension in cm,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401120415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_3_Coded,SIZE - Longest dimension in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120416,,,,,99.9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Description_3,SIZE - Description,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120417,,,,,1 = Diminutive,2 = Small,3 = Large,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Histology_3,HISTOLOGY,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120418,,,,,2 = Tubular adenoma,3 = Tubular villous adenoma,4 = Villous adenoma,5 = Adenoma (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Dysplasia_3,DYSPLASIA,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120419,,,,,0 = None,1 = Mild (low grade),2 = Moderate (low grade),3 = Severe (high grade),9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Multiple_Polyps_4,MULTIPLE POLYPS IN SPECIMEN JAR?,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120501,,,,,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Procedure_4,PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120502,,,,,1 = Sigmoidoscopy,2 = Colonoscopy,3 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120503,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120504,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120505,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120506,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120507,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120508,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120509,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120510,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120511,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_4_NotAvailable,LOCATION - Anatomic  Not Available,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120512,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_4,LOCATION - Distance In cm,DCW_190401.doc,integer,,,,,,,PhenX,PX190401120513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_4_Coded,LOCATION - Distance In cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120514,,,,,99 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_4,SIZE - Longest dimension in cm,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401120515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_4_Coded,SIZE - Longest dimension in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120516,,,,,99.9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Description_4,SIZE - Description,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120517,,,,,1 = Diminutive,2 = Small,3 = Large,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Histology_4,HISTOLOGY,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120518,,,,,2 = Tubular adenoma,3 = Tubular villous adenoma,4 = Villous adenoma,5 = Adenoma (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Dysplasia_4,DYSPLASIA,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120519,,,,,0 = None,1 = Mild (low grade),2 = Moderate (low grade),3 = Severe (high grade),9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Multiple_Polyps_5,MULTIPLE POLYPS IN SPECIMEN JAR?,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120601,,,,,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Procedure_5,PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120602,,,,,1 = Sigmoidoscopy,2 = Colonoscopy,3 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120603,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120604,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120605,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120606,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120607,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120608,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120609,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120610,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120611,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_5_NotAvailable,LOCATION - Anatomic  Not Available,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120612,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_5,LOCATION - Distance In cm,DCW_190401.doc,integer,,,,,,,PhenX,PX190401120613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_5_Coded,LOCATION - Distance In cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120614,,,,,99 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_5,SIZE - Longest dimension in cm,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401120615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_5_Coded,SIZE - Longest dimension in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120616,,,,,99.9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Description_5,SIZE - Description,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120617,,,,,1 = Diminutive,2 = Small,3 = Large,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Histology_5,HISTOLOGY,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120618,,,,,2 = Tubular adenoma,3 = Tubular villous adenoma,4 = Villous adenoma,5 = Adenoma (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Dysplasia_5,DYSPLASIA,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120619,,,,,0 = None,1 = Mild (low grade),2 = Moderate (low grade),3 = Severe (high grade),9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Non_Advanced_Number,NUMBER OF NON-ADVANCED ADENOMAS,DCW_190401.doc,integer,,,,,,,PhenX,PX190401120701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Advanced_Number,NUMBER OF ADVANCED ADENOMAS,DCW_190401.doc,integer,,,,,ADVANCED ADENOMA CRITERIA:  (must fulfill at least one to be classified as advanced)  - greater than or equal to 1 cm  - villous elements in histology  - severe or high-grade dysplasia,,PhenX,PX190401120702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Exact_Number_Determined,CAN EXACT NUMBER OF ADENOMAS BE DETERMINED?,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120800,,,,,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Diagnostic_Staging_Procedures,Other Diagnostic/Staging Procedures,DCW_190401.doc,enumerated,,,,,DO NOT RECORD RESULTS OF PLCO SCREENING EXAMIMATIONS.,,PhenX,PX190401130100,,,,,No,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_1,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130201,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_1,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_1,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_1_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_1_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_1_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_2,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130301,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_2,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_2,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_2_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_2_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_2_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_3,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130401,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_3,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_3,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_3_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
