VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2M_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2M (UR2M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101010100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_MeF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101060700,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_MeF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101060800,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_MeF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mesial-facial (MeF)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101060900,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_MeL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061000,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_MeL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061100,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_MeL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mesial-lingual (MeL)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061200,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_ML_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061300,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_ML_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061400,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_ML_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the mid-lingual (ML) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061500,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_DL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061600,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_DL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061700,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URLI_DL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right LI (URLI) at the distal-lingual (DL) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101061800,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_DF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070200,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_DF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the distal facial (DF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070300,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070400,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070500,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mid-facial (MF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070600,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MeF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070700,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MeF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070800,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MeF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mesial-facial (MeF)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101070900,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MeL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071000,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MeL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071100,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_MeL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mesial-lingual (MeL)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071200,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_ML_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071300,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_ML_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071400,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_ML_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the mid-lingual (ML) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071500,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_DL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071600,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_DL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071700,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_URCI_DL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right CI (URCI) at the distal-lingual (DL) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101071800,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_DF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080200,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_DF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the distal facial (DF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080300,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080400,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080500,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mid-facial (MF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080600,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MeF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080700,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MeF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080800,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MeF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mesial-facial (MeF)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101080900,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MeL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101081000,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MeL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101081100,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_MeL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mesial-lingual (MeL)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101081200,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LR2M_ML_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right 2M (LR2M) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101081300,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
