VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,VARIABLE_TERM,ORDER,VALUES,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FearLosingControl_Rating,"Which rating best describes the number of days on which a definite fear (common usage) of losing control over eating has been present, irrespective of whether the participant has felt he or she has been in control?",DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102090200,,0 = No fear of losing control over eating,1 = Fear of losing control over eating present on 1 to 5 days,2 = Fear of losing control over eating present on less than half the days (6 to 12 days),3 = Fear of losing control over eating present on half the days (13 to 15 days),4 = Fear of losing control over eating present on more than half the days (16 to 22 5 days),5 = Fear of losing control over eating present almost every day (23 to 27 days),6 = Fear of losing control over eating present every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_History,"Different people mean different things by overeating. I would like you to describe any times when you have felt that you have eaten, or might have eaten, too much at one time over the past four weeks.",DCW_650102.doc,string,,,,,,,PhenX,PX650102100100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_LossOfControl,And any times you have felt you have lost control over eating over the past four weeks?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102100200,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_EatenTooMuch,"Have there been any times over the past four weeks when you have felt that you have eaten too much, but others might not agree?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102100300,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_EatenTooMuch_Others,Have there been any times over the past four weeks when you have felt that you have eaten an ordinary amount of food but others might have regarded you as having overeaten?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102100400,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Food,Typically what have you eaten at these times?,DCW_650102.doc,string,,,,,,,PhenX,PX650102100500,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Excessive,Did you view this amount as excessive?,DCW_650102.doc,enumerated,,,,,skip logic,ASK IF subjective bulimic episode,PhenX,PX650102100600,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Circumstance,What were the circumstances?,DCW_650102.doc,string,,,,,,,PhenX,PX650102100700,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Food_Others,What were others eating at the time?,DCW_650102.doc,string,,,,,,,PhenX,PX650102100800,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_LossOfControl_History,Did you have a sense of loss of control at the time?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102100900,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_StopEating,Did you feel you could have stopped eating once you had started?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102101000,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Discipline,Did you feel you could you have prevented the episode from starting?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102101100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Days_Month,What is the number of days on which one or more objective bullimic episodes have occurred in the last 28 days?,DCW_650102.doc,integer,,0,28,,,,PhenX,PX650102110100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Days_MonthEncoded,What is the number of days on which one or more objective bullimic episodes have occurred in the last 28 days?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102110200,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Episodes_Month,What is the total number of objective bullimic episodes that have occurred in the last 28 days?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102110300,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Episodes_MonthEncoded,What is the total number of objective bullimic episodes that have occurred in the last 28 days?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102110400,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Days_TwoMonths,What is the number of days on which one or more objective bullimic episodes have occurred in the last two months?,DCW_650102.doc,integer,,0,56,,,,PhenX,PX650102110500,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Days_TwoMonthsEncoded,What is the number of days on which one or more objective bullimic episodes have occurred in the last two months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102110600,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Episodes_TwoMonths,What is the total number of objective bullimic episodes that have occurred in the last two months?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102110700,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Episodes_TwoMonthsEncoded,What is the total number of objective bullimic episodes that have occurred in the last two months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102110800,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Days_ThreeMonths,What is the number of days on which one or more objective bullimic episodes have occurred in the last three months?,DCW_650102.doc,integer,,0,84,,,,PhenX,PX650102110900,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Days_ThreeMonthsEncoded,What is the number of days on which one or more objective bullimic episodes have occurred in the last three months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102111000,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Episodes_ThreeMonths,What is the total number of objective bullimic episodes that have occurred in the last three months?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102111100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Episodes_ThreeMonthsEncoded,What is the total number of objective bullimic episodes that have occurred in the last three months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102111200,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Days_Month,What is the number of days on which one or more subjective bullimic episodes have occurred in the last 28 days?,DCW_650102.doc,integer,,0,28,,,,PhenX,PX650102120100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Days_MonthEncoded,What is the number of days on which one or more subjective bullimic episodes have occurred in the last 28 days?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102120200,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Episodes_Month,What is the total number of subjective bullimic episodes that have occurred in the last 28 days?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102120300,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Episodes_MonthEncoded,What is the total number of subjective bullimic episodes that have occurred in the last 28 days?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102120400,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Days_TwoMonths,What is the number of days on which one or more subjective bullimic episodes have occurred in the last two months?,DCW_650102.doc,integer,,0,56,,,,PhenX,PX650102120500,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Days_TwoMonthsEncoded,What is the number of days on which one or more subjective bullimic episodes have occurred in the last two months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102120600,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Episodes_TwoMonths,What is the total number of subjective bullimic episodes that have occurred in the last two months?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102120700,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Episodes_TwoMonthsEncoded,What is the total number of subjective bullimic episodes that have occurred in the last two months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102120800,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Days_ThreeMonths,What is the number of days on which one or more subjective bullimic episodes have occurred in the last three months?,DCW_650102.doc,integer,,0,84,,,,PhenX,PX650102120900,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Days_ThreeMonthsEncoded,What is the number of days on which one or more subjective bullimic episodes have occurred in the last three months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102121000,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Episodes_ThreeMonths,What is the total number of subjective bullimic episodes that have occurred in the last three months?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102121100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Sbe_Episodes_ThreeMonthsEncoded,What is the total number of subjective bullimic episodes that have occurred in the last three months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102121200,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Days_Month,What is the number of days on which one or more objective overeating episodes have occurred in the last 28 days?,DCW_650102.doc,integer,,0,28,,,,PhenX,PX650102130100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Days_MonthEncoded,What is the number of days on which one or more objective overeating episodes have occurred in the last 28 days?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102130200,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Episodes_Month,What is the total number of objective overeating episodes that have occurred in the last 28 days?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102130300,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Episodes_MonthEncoded,What is the total number of objective overeating episodes that have occurred in the last 28 days?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102130400,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Days_TwoMonths,What is the number of days on which one or more objective overeating episodes have occurred in the last two months?,DCW_650102.doc,integer,,0,56,,,,PhenX,PX650102130500,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Days_TwoMonthsEncoded,What is the number of days on which one or more objective overeating episodes have occurred in the last two months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102130600,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Episodes_TwoMonths,What is the total number of objective overeating episodes that have occurred in the last two months?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102130700,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Episodes_TwoMonthsEncoded,What is the total number of objective overeating episodes that have occurred in the last two months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102130800,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Days_ThreeMonths,What is the number of days on which one or more objective overeating episodes have occurred in the last three months?,DCW_650102.doc,integer,,0,84,,,,PhenX,PX650102130900,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Days_ThreeMonthsEncoded,What is the number of days on which one or more objective overeating episodes have occurred in the last three months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102131000,,00 = no days,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Episodes_ThreeMonths,What is the total number of objective overeating episodes that have occurred in the last three months?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102131100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_ObjectiveOvereating_Episodes_ThreeMonthsEncoded,What is the total number of objective overeating episodes that have occurred in the last three months?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102131200,,000 = no episodes,777 = if the number of episodes is so great that their frequency cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Free_Month,What is the longest continuous period (in weeks) free (not due to force of circumstances) from objective bulimic episodes over the past four weeks?,DCW_650102.doc,integer,weeks,,,,,,PhenX,PX650102131300,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Free_MonthEncoded,What is the longest continuous period (in weeks) free (not due to force of circumstances) from objective bulimic episodes over the past four weeks?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102131400,,99 = not applicable,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Free_TwoMonths,What is the longest continuous period (in weeks) free (not due to force of circumstances) from objective bulimic episodes between the past 4 to 8 weeks?,DCW_650102.doc,integer,weeks,,,,,,PhenX,PX650102131500,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Free_TwoMonthsEncoded,What is the longest continuous period (in weeks) free (not due to force of circumstances) from objective bulimic episodes between the past 4 to 8 weeks?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102131600,,99 = not applicable,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Free_ThreeMonths,What is the longest continuous period (in weeks) free (not due to force of circumstances) from objective bulimic episodes between the past 8 to 12 weeks?,DCW_650102.doc,integer,weeks,,,,,,PhenX,PX650102131700,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BulimicEpisodes_Obe_Free_ThreeMonthsEncoded,What is the longest continuous period (in weeks) free (not due to force of circumstances) from objective bulimic episodes between the past 8 to 12 weeks?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102131800,,99 = not applicable,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BingeEatingDisorder_EatRapidly,"During these episodes (refer to objective bulimic episodes that are representative of those over the past three months), have you typically eaten much more rapidly than normal?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102140100,,1 = Yes,0 = No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BingeEatingDisorder_Uncomfortable,"During these episodes (refer to objective bulimic episodes that are representative of those over the past three months), have you typically eaten until you have felt uncomfortably full?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102140200,,1 = Yes,0 = No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BingeEatingDisorder_NotHungry,"During these episodes (refer to objective bulimic episodes that are representative of those over the past three months), have you typically eaten large amounts of food when you haven't felt physically hungry?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102140300,,1 = Yes,0 = No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BingeEatingDisorder_Embarrassed,"During these episodes (refer to objective bulimic episodes that are representative of those over the past three months), have you typically eaten alone because you have felt embarrassed about how much you were eating?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102140400,,1 = Yes,0 = No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_BingeEatingDisorder_FeelDisgusted,"During these episodes (refer to objective bulimic episodes that are representative of those over the past three months), have you typically felt disgusted with yourself, depressed, or very guilty?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102140500,,1 = Yes,0 = No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DistressBingeEating,"In general, over the past three months how distressed or upset have you felt about these episodes (refer to objective bulimic episodes that are representative of those over the past three months)?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102150000,,1 = Marked distress,0 = No marked distress,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_Amount,"Outside the times when you have lost control over eating ..... (refer to objective and subjective bulimic episodes), ...... how much have you been actually restricting (limiting) the amount that you eat?",DCW_650102.doc,string,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160100,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_TypicalDiet,What have you eaten on a typical day?,DCW_650102.doc,string,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160200,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_ShapeWeight,Has this been to influence your shape or weight?,DCW_650102.doc,enumerated,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160300,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_History_1,"In the past four weeks, would a typical day have an episode of overeating?",DCW_650102.doc,enumerated,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160400,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_Rating_1,Which rating best describes the subject's dietary restrictions during this period?,DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160500,,0 = No extreme restriction outside objective and subjective bulimic episodes,"1 = Extreme restriction outside objective and subjective bulimic episodes (i.e., purposeful low energy intake (e.g., <1,200 kcals))","2 = No eating outside objective and subjective bulimic episodes (i.e., purposeful ""fasting"")",,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_History_2,"Between past 4 to 8 weeks, would a typical day have an episode of overeating?",DCW_650102.doc,enumerated,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160600,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_Rating_2,Which rating best describes the subject's dietary restrictions during this period?,DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160700,,0 = No extreme restriction outside objective and subjective bulimic episodes,"1 = Extreme restriction outside objective and subjective bulimic episodes (i.e., purposeful low energy intake (e.g., <1,200 kcals))","2 = No eating outside objective and subjective bulimic episodes (i.e., purposeful ""fasting"")",,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_History_3,"Between past 8 to 12 weeks, would a typical day have an episode of overeating?",DCW_650102.doc,enumerated,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160800,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRestrictions_Rating_3,Which rating best describes the subject's dietary restrictions during this period?,DCW_650102.doc,encoded values,,,,,skip logic,ASK IF 12 or more objective bulimic episodes in the past 12 weeks,PhenX,PX650102160900,,0 = No extreme restriction outside objective and subjective bulimic episodes,"1 = Extreme restriction outside objective and subjective bulimic episodes (i.e., purposeful low energy intake (e.g., <1,200 kcals))","2 = No eating outside objective and subjective bulimic episodes (i.e., purposeful ""fasting"")",,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SocialEating_History,"Outside the times when ..... (refer to any objective bulimic episodes and episodes of objective overeating), over the past four weeks have you been concerned about other people seeing you eat?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102170100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SocialEating_Concern,How concerned have you been?,DCW_650102.doc,string,,,,,,,PhenX,PX650102170200,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SocialEating_Avoidance,Has this concern led you to avoid such occasions?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102170300,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SocialEating_Worse,Could it have been worse?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102170400,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SocialEating_Rating,Which rating best describes the degree of concern about eating normal or less than normal amounts of food in front of others?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102170500,,0 = No concern about being seen eating by others and no avoidance of such occasions.,1,2 = Has felt slight concern at being seen eating by others,3,4 = Has felt definite concern at being seen eating by others,5,6 = Has felt extreme concern at being seen eating by others,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EatingSecret,"Outside the times when ..... (refer to any objective bulimic episodes and episodes of objective overeating), over the past four weeks have you eaten in secret?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102180100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EatingSecret_Rating,Which rating best describes the number of days on which there has been at least one episode of secret eating?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102180200,,0 = Has not eaten in secret,1 = Has eaten in secret on 1 to 5 days,2 = Has eaten in secret on less than half the days (6 to 12 days),3 = Has eaten in secret on half the days (13 to 15 days),4 = Has eaten in secret on more than half the days (16 to 22 days),5 = Has eaten in secret almost every day (23 to 27 days),6 = Has eaten in secret every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_GuiltAboutEating_History,"Outside the times when ..... (refer to any objective and subjective bulimic episodes), over the past four weeks have you felt guilty after eating?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102190100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_GuiltAboutEating_Guilt,Have you felt that you have done something wrong?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102190200,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_GuiltAboutEating_Guilt_Reason,Why?,DCW_650102.doc,string,,,,,skip logic,ASK IF Q19.02=Yes,PhenX,PX650102190300,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_GuiltAboutEating_Proportion,On what proportion of the times that you have eaten have you felt guilty?,DCW_650102.doc,string,,,,,,,PhenX,PX650102190400,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_GuiltAboutEating_Rating,Which rating best describes the proportion of times that feelings of guilt have followed eating?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102190500,,0 = No guilt after eating,1,2 = Has felt guilty after eating on less than half the occasions,3,4 = Has felt guilty after eating on more than half the occasions,5,6 = Has felt guilty after eating on every occasion,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_History,Over the past four weeks have you made yourself sick as a means of controlling your shape or weight?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102200100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_Episodes,What is the number of episodes of self-induced vomiting?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102200200,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_Episodes_Encoded,What is the number of episodes of self-induced vomiting?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102200300,,000 = if no vomiting,777 = if the number of episodes is so great that it cannot be calculated,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_ShapeWeight,"Outside the times when ..... (refer to objective and subjective bulimic episodes), over the past four weeks how many times have you made yourself sick as a means of controlling your shape or weight?",DCW_650102.doc,string,,,,,,,PhenX,PX650102200400,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_Month,What is the number of episodes of “non-compensatory” self-induced vomiting in the past four weeks?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102200500,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_MonthEncoded,What is the number of episodes of “non-compensatory” self-induced vomiting in the past four weeks?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102200600,,000 = no vomiting,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_MonthTwo,What is the number of episodes of “non-compensatory” self-induced vomiting between the past 4 to 8 weeks?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102200700,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_MonthTwo_Encoded,What is the number of episodes of “non-compensatory” self-induced vomiting between the past 4 to 8 weeks?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102200800,,000 = no vomiting,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_MonthThree,What is the number of episodes of “non-compensatory” self-induced vomiting between the past 8 to 12 weeks?,DCW_650102.doc,integer,,,,,,,PhenX,PX650102200900,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_SelfinducedVomiting_MonthThree_Encoded,What is the number of episodes of “non-compensatory” self-induced vomiting between the past 8 to 12 weeks?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102201000,,000 = no vomiting,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_LaxativeMisuse_History,Over the past four weeks have you taken laxatives as a means of controlling your shape or weight?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102210100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_LaxativeMisuse_Episodes,"What is the number of episodes of laxative-taking as a means of controlling shape, weight or body composition in the past four weeks?",DCW_650102.doc,integer,,,,,,,PhenX,PX650102210200,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_LaxativeMisuse_Episodes_Encoded,"What is the number of episodes of laxative-taking as a means of controlling shape, weight or body composition in the past four weeks?",DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102210300,,"00 = if there was no laxative use or there is doubt whether the laxative-taking was primarily to influence shape, weight, or body composition",,,,,,,,,,,,,,,,
